metric_name,percentile,threshold_value,baseline_start_date,baseline_end_date
avg_merge_latency_hours,9.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,9.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,9.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,9.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,9.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,9.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,9.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,10.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,11.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,12.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.4,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.5,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.6,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.7,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.8,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,13.9,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,14.0,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,14.1,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,14.2,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,14.3,0.0,2022-10-01,2025-09-30
avg_merge_latency_hours,14.4,0.0,2022-10-01,2025-09-30
